Filename,Firstname,Surname,Position,Birthdate,Height,Hometown,Club
2013/rachel-buehler.html,Rachel,Van Hollebeke,Defender,1985-08-26T00:00:00Z,5-5,"Del Mar, Calif.",Portland Thorns FC
2013/whitney-engen.html,Whitney,Engen,Defender,1987-11-28T00:00:00Z,5-8,"Rolling Hills Estates, Calif.",Boston Breakers
2013/lori-lindsey.html,Lori,Lindsey,Midfielder,1980-03-19T00:00:00Z,5-5,"Indianapolis, Ind.",Washington Spirit
2013/stephanie-cox.html,Stephanie,Cox,Defender,1986-04-03T00:00:00Z,5-6,"Elk Grove, Calif.",Seattle Reign FC
2013/julie-johnston.html,Julie,Ertz,Midfielder,1992-04-06T00:00:00Z,5-7,"Mesa, Ariz.",Chicago Red Stars
2013/kristie-mewis.html,Kristie,Mewis,Midfielder,1991-02-25T00:00:00Z,5-7,"Hanson, Mass.",Boston Breakers
2013/carli-lloyd.html,Carli,Lloyd,Forward,1982-07-16T00:00:00Z,5-8,"Delran, N.J.",Sky Blue FC
2013/crystal-dunn.html,Crystal,Dunn,Defender,1992-07-03T00:00:00Z,5-1,"Rockville Centre, N.Y.",NC Courage
2013/christie-rampone.html,Christie,Rampone,Defender,1975-06-24T00:00:00Z,5-6,"Point Pleasant, N.J.",Sky Blue FC
2013/erika-tymrak.html,Erika,Tymrak,Midfielder,1991-08-07T00:00:00Z,5-5,"Bradenton, Fla.",FC Kansas City
2013/jillian-loyden.html,Jill,Loyden,Goalkeeper,1985-05-25T00:00:00Z,5-10,"Vineland, N.J.",Sky Blue FC
2013/christen-press.html,Christen,Press,Forward,1988-12-29T00:00:00Z,5-7,"Palos Verdes Estates, Calif.",Utah Royals FC
2013/shannon-boxx.html,Shannon,Boxx,Midfielder,1977-06-29T00:00:00Z,5-8,"Redondo Beach, Calif.",Chicago Red Stars
2013/amber-brooks.html,Amber,Brooks,Defender,1991-01-23T00:00:00Z,5-6,"New Hope, Pa.",Portland Thorns FC
2013/lee-ann-robinson.html,Leigh Ann,Robinson,Defender,1986-08-17T00:00:00Z,5-9,"Poway, Calif.",FC Kansas City
2013/morgan-brian.html,Morgan,Brian,Midfielder,1993-02-26T00:00:00Z,5-7,"St. Simons Island, Ga.",Chicago Red Stars
2013/becky-sauerbrunn.html,Becky,Sauerbrunn,Defender,1985-06-06T00:00:00Z,5-7,"St. Louis, Mo.",Utah Royals FC
2013/nicole-barnhart.html,Nicole,Barnhart,Goalkeeper,1981-10-10T00:00:00Z,5-10,"Gilbertsville, Pa.",FC Kansas City
2013/megan-rapinoe.html,Megan,Rapinoe,Forward,1985-07-05T00:00:00Z,5-7,"Redding, Calif.",Seattle Reign FC
2013/ashlyn-harris.html,Ashlyn,Harris,Goalkeeper,1985-10-19T00:00:00Z,5-9,"Satellite Beach, Fla.",Orlando Pride
2013/hope-solo.html,Hope,Solo,Goalkeeper,1981-07-30T00:00:00Z,5-9,"Richland, Wash.",Seattle Reign FC
2013/meghan-klingenberg.html,Meghan,Klingenberg,Defender,1988-08-02T00:00:00Z,5-2,"Gibsonia, Pa.",Portland Thorns FC
2013/sydney-leroux.html,Sydney,Leroux,Forward,1990-05-07T00:00:00Z,5-7,"Scottsdale, Ariz.",FC Kansas City
2013/yael-averbuch.html,Yael,Averbuch,Midfielder,1986-11-03T00:00:00Z,5-10,"Upper Montclair, N.J.",Washington Spirit
2013/heather-oreilly.html,Heather,O'Reilly,Midfielder,1985-01-02T00:00:00Z,5-5,"East Brunswick, N.J.",FC Kansas City
2013/kelley-ohara.html,Kelley,O'Hara,Defender,1988-08-04T00:00:00Z,5-5,"Fayetteville, Ga.",Utah Royals FC
2013/ashlyn-harris.html,Ashlyn,Harris,Goalkeeper,1985-10-19T00:00:00Z,5-9,"Satellite Beach, Fla.",Orlando Pride
2013/abby-wambach.html,Abby,Wambach,Forward,1980-06-02T00:00:00Z,5-11,"Rochester, N.Y.",Unattached
2013/ali-krieger.html,Ali,Krieger,Defender,1984-07-28T00:00:00Z,5-6,"Dumfries, Va.",Orlando Pride
2013/lindsey-horan.html,Lindsey,Horan,Midfielder,1994-05-26T00:00:00Z,5-9,"Golden, Colo.",Portland Thorns FC
2013/lauren-holiday.html,Lauren,Holiday,Midfielder,1987-09-30T00:00:00Z,5-8,"Indianapolis, Ind.",FC Kansas City
2013/alex-morgan.html,Alex,Morgan,Forward,1989-07-02T00:00:00Z,5-7,"Diamond Bar, Calif.",Orlando Pride
2013/tobin-heath.html,Tobin,Heath,Forward,1988-05-29T00:00:00Z,5-6,"Basking Ridge, N.J.",Portland Thorns FC
