Filename,Firstname,Surname,Position,Birthdate,Height,Hometown,Club
2011/rachel-buehler.html,Rachel,Van Hollebeke,Defender,1985-08-26T00:00:00Z,5-5,"Del Mar, Calif.",Portland Thorns FC
2011/amy-lepeilbet.html,Amy,LePeilbet,Defender,1982-03-12T00:00:00Z,5-7,"Crystal Lake, Ill.",Chicago Red Stars
2011/whitney-engen.html,Whitney,Engen,Defender,1987-11-28T00:00:00Z,5-8,"Rolling Hills Estates, Calif.",Boston Breakers
2011/lori-lindsey.html,Lori,Lindsey,Midfielder,1980-03-19T00:00:00Z,5-5,"Indianapolis, Ind.",Washington Spirit
2011/stephanie-cox.html,Stephanie,Cox,Defender,1986-04-03T00:00:00Z,5-6,"Elk Grove, Calif.",Seattle Reign FC
2011/brittany-taylor.html,Brittany,Taylor,Defender,1987-09-18T00:00:00Z,5-7,"Campbell Hall, N.Y.",Sky Blue FC
2011/yael-averbuch.html,Yael,Averbuch,Midfielder,1986-11-03T00:00:00Z,5-10,"Upper Montclair, N.J.",Washington Spirit
2011/carli-lloyd.html,Carli,Lloyd,Forward,1982-07-16T00:00:00Z,5-8,"Delran, N.J.",Sky Blue FC
2011/christie-rampone.html,Christie,Rampone,Defender,1975-06-24T00:00:00Z,5-6,"Point Pleasant, N.J.",Sky Blue FC
2011/jillian-loyden.html,Jill,Loyden,Goalkeeper,1985-05-25T00:00:00Z,5-10,"Vineland, N.J.",Sky Blue FC
2011/shannon-boxx.html,Shannon,Boxx,Midfielder,1977-06-29T00:00:00Z,5-8,"Redondo Beach, Calif.",Chicago Red Stars
2011/becky-sauerbrunn.html,Becky,Sauerbrunn,Defender,1985-06-06T00:00:00Z,5-7,"St. Louis, Mo.",Utah Royals FC
2011/nicole-barnhart.html,Nicole,Barnhart,Goalkeeper,1981-10-10T00:00:00Z,5-10,"Gilbertsville, Pa.",FC Kansas City
2011/megan-rapinoe.html,Megan,Rapinoe,Forward,1985-07-05T00:00:00Z,5-7,"Redding, Calif.",Seattle Reign FC
2011/ashlyn-harris.html,Ashlyn,Harris,Goalkeeper,1985-10-19T00:00:00Z,5-9,"Satellite Beach, Fla.",Orlando Pride
2011/amy-rodriguez.html,Amy,Rodriguez,Forward,1987-02-17T00:00:00Z,5-4,"Lake Forest, Calif.",Utah Royals FC
2011/hope-solo.html,Hope,Solo,Goalkeeper,1981-07-30T00:00:00Z,5-9,"Richland, Wash.",Seattle Reign FC
2011/meghan-klingenberg.html,Meghan,Klingenberg,Defender,1988-08-02T00:00:00Z,5-2,"Gibsonia, Pa.",Portland Thorns FC
2011/sydney-leroux.html,Sydney,Leroux,Forward,1990-05-07T00:00:00Z,5-7,"Scottsdale, Ariz.",FC Kansas City
2011/heather-oreilly.html,Heather,O'Reilly,Midfielder,1985-01-02T00:00:00Z,5-5,"East Brunswick, N.J.",FC Kansas City
2011/kelley-ohara.html,Kelley,O'Hara,Defender,1988-08-04T00:00:00Z,5-5,"Fayetteville, Ga.",Utah Royals FC
2011/ali-krieger.html,Ali,Krieger,Defender,1984-07-28T00:00:00Z,5-6,"Dumfries, Va.",Orlando Pride
2011/lauren-holiday.html,Lauren,Holiday,Midfielder,1987-09-30T00:00:00Z,5-8,"Indianapolis, Ind.",FC Kansas City
2011/lindsay-tarpley.html,Lindsay,Tarpley,Midfielder,1983-09-22T00:00:00Z,5-6,"Kalamazoo, Mich.",magicJack's Washington Freedom
2011/abby-wambach.html,Abby,Wambach,Forward,1980-06-02T00:00:00Z,5-11,"Rochester, N.Y.",Unattached
2011/heather-mitts.html,Heather,Mitts,Defender,1978-06-09T00:00:00Z,5-5,"Cincinnati, Ohio",Boston Breakers
2011/alex-morgan.html,Alex,Morgan,Forward,1989-07-02T00:00:00Z,5-7,"Diamond Bar, Calif.",Orlando Pride
2011/tobin-heath.html,Tobin,Heath,Forward,1988-05-29T00:00:00Z,5-6,"Basking Ridge, N.J.",Portland Thorns FC
