Filename,Firstname,Surname,Position,Birthdate,Height,Hometown,Club
2010/rachel-buehler.html,Rachel,Van Hollebeke,Defender,1985-08-26T00:00:00Z,5-5,"Del Mar, Calif.",Portland Thorns FC
2010/amy-lepeilbet.html,Amy,LePeilbet,Defender,1982-03-12T00:00:00Z,5-7,"Crystal Lake, Ill.",Chicago Red Stars
2010/sarah-huffman.html,Sarah,Huffman,Midfielder,1984-03-05T00:00:00Z,5-4,"Flower Mound, Texas",Washington Freedom
2010/meghan-schnur.html,Meghan,Schnur,Defender,1986-04-16T00:00:00Z,5-6,"Butler, Pa.",Sky Blue FC
2010/lori-lindsey.html,Lori,Lindsey,Midfielder,1980-03-19T00:00:00Z,5-5,"Indianapolis, Ind.",Washington Spirit
2010/stephanie-cox.html,Stephanie,Cox,Defender,1986-04-03T00:00:00Z,5-6,"Elk Grove, Calif.",Seattle Reign FC
2010/kristine-lilly.html,Kristine,Lilly,Midfielder,1971-07-22T00:00:00Z,5-4,"Wilton, Conn.",Boston Breakers
2010/brittany-taylor.html,Brittany,Taylor,Defender,1987-09-18T00:00:00Z,5-7,"Campbell Hall, N.Y.",Sky Blue FC
2010/yael-averbuch.html,Yael,Averbuch,Midfielder,1986-11-03T00:00:00Z,5-10,"Upper Montclair, N.J.",Washington Spirit
2010/carli-lloyd.html,Carli,Lloyd,Forward,1982-07-16T00:00:00Z,5-8,"Delran, N.J.",Sky Blue FC
2010/christie-rampone.html,Christie,Rampone,Defender,1975-06-24T00:00:00Z,5-6,"Point Pleasant, N.J.",Sky Blue FC
2010/jillian-loyden.html,Jill,Loyden,Goalkeeper,1985-05-25T00:00:00Z,5-10,"Vineland, N.J.",Sky Blue FC
2010/shannon-boxx.html,Shannon,Boxx,Midfielder,1977-06-29T00:00:00Z,5-8,"Redondo Beach, Calif.",Chicago Red Stars
2010/nicole-barnhart.html,Nicole,Barnhart,Goalkeeper,1981-10-10T00:00:00Z,5-10,"Gilbertsville, Pa.",FC Kansas City
2010/megan-rapinoe.html,Megan,Rapinoe,Forward,1985-07-05T00:00:00Z,5-7,"Redding, Calif.",Seattle Reign FC
2010/hope-solo.html,Hope,Solo,Goalkeeper,1981-07-30T00:00:00Z,5-9,"Richland, Wash.",Seattle Reign FC
2010/heather-oreilly.html,Heather,O'Reilly,Midfielder,1985-01-02T00:00:00Z,5-5,"East Brunswick, N.J.",FC Kansas City
2010/kelley-ohara.html,Kelley,O'Hara,Defender,1988-08-04T00:00:00Z,5-5,"Fayetteville, Ga.",Utah Royals FC
2010/lauren-holiday.html,Lauren,Holiday,Midfielder,1987-09-30T00:00:00Z,5-8,"Indianapolis, Ind.",FC Kansas City
2010/lindsay-tarpley.html,Lindsay,Tarpley,Midfielder,1983-09-22T00:00:00Z,5-6,"Kalamazoo, Mich.",magicJack's Washington Freedom
2010/kate-markgraf.html,Kate,Markgraf,Defender,1976-08-23T00:00:00Z,5-9,"Bloomfield Hills, Mich.",Chicago Red Stars
2010/abby-wambach.html,Abby,Wambach,Forward,1980-06-02T00:00:00Z,5-11,"Rochester, N.Y.",Unattached
2010/heather-mitts.html,Heather,Mitts,Defender,1978-06-09T00:00:00Z,5-5,"Cincinnati, Ohio",Boston Breakers
2010/cat-whitehill.html,Cat,Whitehill,Defender,1982-02-10T00:00:00Z,5-7,"Birmingham, Ala.",Washington Freedom
2010/ali-krieger.html,Ali,Krieger,Defender,1984-07-28T00:00:00Z,5-6,"Dumfries, Va.",Orlando Pride
2010/alex-morgan.html,Alex,Morgan,Forward,1989-07-02T00:00:00Z,5-7,"Diamond Bar, Calif.",Orlando Pride
2010/amy-rodriguez.html,Amy,Rodriguez,Forward,1987-02-17T00:00:00Z,5-4,"Lake Forest, Calif.",Utah Royals FC
2010/casey-noguiera.html,Casey,Nogueira,Midfielder,1989-02-23T00:00:00Z,5-6,"Raleigh, N.C.",out of contract
